trajectory,x,y,se
1hr,0.500695410292073,3.4222222222222200,1.0222222222222200
1hr,1.0347705146036200,5.733333333333330,1.8666666666666700
1hr,1.535465924895690,3.2444444444444400,1.200000000000000
1hr,2.0027816411682900,3.0666666666666700,0.6222222222222220
1hr,3.0041724617524300,2.0888888888888900,0.8888888888888890
1hr,5.006954102920720,2.0000000000000000,0.6222222222222210
3hr,1.9694019471488200,6.088888888888890,2.0888888888888900
3hr,2.970792767732960,10.844444444444400,6.444444444444450
3hr,3.438108484005560,5.733333333333330,2.7555555555555600
3hr,3.972183588317110,4.7555555555555600,2.0888888888888900
3hr,6.0083449235048700,3.733333333333330,1.422222222222220
3hr,24.0,2.1333333333333300,1.2888888888888900
